 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,43.745,5.458,0,44,50,51,45.765,5.391,90,46,50,1976,41.530,8.324,42,51,41.745,4.866,0,42,50,51,44.824,4.625,90,44,50,1976,41.658,8.483,42,51,38.314,5.006,0,39,50,51,40.510,6.149,90,41,50,1976,37.494,7.194,39,51,38.431,4.920,0,41,50,51,41.765,4.555,90,42,50,1976,39.136,7.676,39
2,51,42.627,5.546,0,44,50,51,45.059,5.163,90,44,50,1976,41.493,8.152,42,51,41.647,4.664,0,42,50,51,45.667,4.672,90,46,50,1976,41.534,8.568,42,51,38.118,5.450,0,39,50,51,40.275,5.930,90,41,50,1976,37.246,7.044,37,51,38.510,4.839,0,41,50,51,41.902,4.692,90,42,50,1976,39.385,7.876,39
3,51,42.804,6.060,0,44,50,51,45.255,5.730,90,44,50,1976,41.468,8.142,42,51,41.980,5.595,0,42,50,51,45.471,4.835,90,44,50,1976,41.480,8.492,42,51,37.804,5.539,0,41,50,51,40.078,6.180,90,41,50,1976,36.976,6.985,37,51,38.941,5.460,0,41,50,51,42.745,4.638,90,42,50,1976,40.038,8.044,39
4,51,43.529,5.877,0,44,50,51,44.784,6.149,90,44,50,1976,41.064,8.221,42,51,42.039,5.071,0,42,50,51,45.490,4.781,90,46,50,1976,41.638,8.509,42,51,37.490,4.764,0,41,50,51,39.745,6.190,90,41,50,1976,37.038,6.934,37,51,39.059,5.202,0,42,50,51,43.431,4.504,90,42,50,1976,40.259,8.199,41
5,51,42.353,6.095,0,44,50,51,44.353,6.241,90,44,50,1976,40.957,8.141,42,51,42.294,5.518,0,42,50,51,45.275,5.177,90,46,50,1976,41.751,8.358,42,51,38.275,5.314,0,41,50,51,40.333,5.820,90,41,50,1976,37.368,7.114,37,51,39.373,5.366,0,42,50,51,44.490,4.826,90,44,50,1976,40.723,8.503,41
6,51,41.922,5.851,0,44,50,51,44.412,6.223,90,44,50,1976,40.846,8.055,42,51,41.765,5.840,0,42,50,51,45.333,5.229,90,46,50,1976,41.592,8.453,42,51,38.667,4.824,0,41,50,51,40.922,5.939,90,42,50,1976,37.610,7.187,39,51,40.235,4.877,0,42,50,51,44.706,4.768,90,44,50,1976,41.164,8.417,41
7,51,42.412,5.940,0,44,50,51,43.863,6.219,90,42,50,1976,40.633,7.973,42,51,41.431,6.149,0,42,50,51,45.373,4.972,90,46,50,1976,41.508,8.392,42,51,38.314,4.958,0,41,50,51,40.922,5.603,90,42,50,1976,37.666,7.282,39,51,40.294,5.096,0,42,50,51,44.588,4.738,90,44,50,1976,41.196,8.501,41
8,51,41.922,6.144,0,44,50,51,44.471,5.746,90,44,50,1976,40.533,7.958,41,51,41.392,5.448,0,42,50,51,45.078,4.804,90,44,50,1976,41.520,8.416,42,51,38.922,5.047,0,41,50,51,40.353,5.888,90,41,50,1976,37.900,7.489,39,51,40.255,5.019,0,42,50,51,45.020,4.658,90,44,50,1976,41.382,8.540,41
9,51,41.275,5.824,0,44,50,51,44.784,6.130,90,44,50,1976,40.645,7.938,41,51,40.961,5.593,0,42,50,51,45.078,5.302,90,46,50,1976,41.268,8.332,42,51,38.824,4.811,0,41,50,51,41.216,5.033,90,42,50,1976,38.416,7.609,39,51,40.725,5.185,0,41,50,51,45.137,4.423,90,46,50,1976,41.599,8.710,41
10,51,42.373,6.046,0,44,50,51,43.941,6.775,90,44,50,1976,40.238,7.953,41,51,40.941,5.795,0,42,50,51,45.098,5.475,90,44,50,1976,41.264,8.308,42,51,39.059,4.917,0,41,50,51,41.725,5.419,90,42,50,1976,38.476,7.724,39,51,41.039,5.433,0,42,50,51,45.471,4.558,90,44,50,1976,41.871,8.700,42
11,51,42.431,5.964,0,44,50,51,43.784,6.463,90,42,50,1976,39.932,7.861,41,51,40.784,6.188,0,42,50,51,44.980,5.167,90,44,50,1976,41.147,8.288,42,51,39.294,5.220,0,42,50,51,41.549,5.323,90,42,50,1976,38.646,7.716,39,51,40.804,5.261,0,42,50,51,45.588,4.419,90,44,50,1976,42.112,8.738,42
12,51,40.333,5.694,0,42,50,51,43.627,5.685,90,42,50,1976,39.912,7.639,41,51,41.137,5.943,0,42,50,51,44.490,5.331,90,44,50,1976,40.995,8.103,42,51,39.431,4.801,0,42,50,51,41.745,5.287,90,42,50,1976,38.687,7.723,39,51,40.647,5.114,0,42,50,51,45.647,4.762,90,46,50,1976,42.062,8.754,42
13,51,41.333,5.806,0,44,50,51,43.333,6.535,90,42,50,1976,39.755,7.739,41,51,40.627,6.135,0,42,50,51,44.765,5.026,90,44,50,1976,40.793,8.148,42,51,39.627,5.130,0,41,50,51,41.471,5.529,90,42,50,1976,38.656,7.907,39,51,41.392,5.212,0,44,50,51,45.941,5.132,90,44,50,1976,42.279,8.660,42
14,51,41.216,5.661,0,44,50,51,43.118,6.386,90,42,50,1976,39.562,7.438,41,51,40.314,6.680,0,42,50,51,44.431,5.334,90,44,50,1976,40.573,8.088,42,51,39.882,4.918,0,42,50,51,41.804,5.250,90,42,50,1976,38.918,7.759,39,51,40.922,5.429,0,42,50,51,46.275,5.088,90,46,50,1976,42.422,8.692,42
15,51,40.608,5.463,0,42,50,51,43.804,6.416,90,44,50,1976,40.089,7.455,41,51,39.980,6.326,0,42,50,51,43.627,5.532,90,42,50,1976,40.303,8.154,41,51,39.412,4.965,0,41,50,51,41.922,5.145,90,42,50,1976,38.773,7.890,39,51,40.745,5.892,0,42,50,51,45.667,5.160,90,46,50,1976,42.172,8.706,42
16,51,40.980,4.885,0,42,50,51,42.627,6.245,90,42,50,1976,39.492,7.600,39,51,39.510,6.091,0,42,50,51,43.882,5.206,90,44,50,1976,40.103,7.993,41,51,39.804,5.246,0,41,50,51,41.529,5.342,90,42,50,1976,38.776,7.759,39,51,41.137,6.063,0,42,50,51,45.529,5.178,90,44,50,1976,42.456,8.879,42
17,51,41.020,4.860,0,42,50,51,42.686,6.733,90,42,50,1976,39.535,7.515,41,51,39.353,5.966,0,42,50,51,44.000,5.488,90,44,50,1976,39.873,8.037,41,51,39.588,4.855,0,41,50,51,42.216,5.379,90,42,50,1976,39.158,7.991,39,51,41.627,5.831,0,42,50,51,45.843,5.171,90,46,50,1976,42.209,8.648,42
18,51,40.863,4.665,0,42,50,51,43.137,5.769,90,42,50,1976,39.886,7.272,41,51,39.098,6.110,0,42,50,51,44.059,5.308,90,44,50,1976,39.585,7.781,41,51,40.412,5.205,0,41,50,51,43.059,5.209,90,42,50,1976,39.793,8.049,39,51,42.078,5.730,0,44,50,51,46.098,5.213,90,46,50,1976,42.372,8.677,42
19,51,41.098,5.341,0,44,50,51,42.882,6.121,90,44,50,1976,39.534,7.467,41,51,38.902,5.947,0,42,50,51,43.118,4.668,90,42,50,1976,39.291,7.711,41,51,40.275,5.135,0,42,50,51,43.765,4.910,90,44,50,1976,39.939,8.010,41,51,41.882,6.055,0,44,50,51,45.882,5.137,90,46,50,1976,42.412,8.588,42
20,51,41.137,4.720,0,42,50,51,42.745,6.026,90,42,50,1976,39.445,7.534,41,51,38.686,6.395,0,41,50,51,43.529,5.089,90,42,50,1976,39.015,7.728,41,51,40.020,5.428,0,41,50,51,43.804,5.189,90,42,50,1976,39.962,8.153,41,51,41.647,6.092,0,44,50,51,45.804,5.632,90,46,50,1976,42.281,8.562,42
21,51,41.392,5.333,0,44,50,51,42.569,4.997,90,42,50,1976,39.724,7.539,41,51,38.294,6.041,0,41,50,51,43.471,4.593,90,44,50,1976,38.931,7.670,41,51,40.118,5.663,0,42,50,51,43.627,4.895,90,44,50,1976,39.873,8.181,41,51,41.471,6.067,0,42,50,51,45.647,5.207,90,46,50,1976,42.025,8.762,42
22,51,41.922,5.098,0,44,50,51,43.510,6.021,90,42,50,1976,39.912,7.606,41,51,38.059,6.250,0,41,50,51,42.235,5.140,90,42,50,1976,38.351,7.548,39,51,39.608,5.689,0,42,50,51,43.725,5.036,90,42,50,1976,39.812,8.097,41,51,41.627,6.400,0,42,50,51,45.941,4.925,90,46,50,1976,42.213,8.628,42
23,51,41.922,4.971,0,44,50,51,42.745,5.824,90,42,50,1976,39.634,7.740,41,51,38.275,6.478,0,41,50,51,42.333,5.516,90,41,50,1976,38.232,7.552,39,51,39.765,5.795,0,42,50,51,43.863,5.079,90,42,50,1976,39.955,8.086,41,51,41.529,6.307,0,44,50,51,45.471,4.989,90,44,50,1976,41.947,8.570,42
24,51,41.471,5.100,0,44,50,51,42.667,5.816,90,42,50,1976,39.835,7.657,41,51,37.255,6.225,0,39,50,51,41.765,5.573,90,41,50,1976,38.015,7.360,39,51,39.863,5.762,0,42,50,51,43.961,5.261,90,42,50,1976,39.922,8.103,41,51,41.510,6.071,0,44,50,51,45.392,4.842,90,44,50,1976,41.879,8.392,42
25,51,41.725,5.127,0,44,50,51,43.412,5.474,90,42,50,1976,40.090,7.737,41,51,37.451,6.031,0,39,50,51,41.588,5.356,90,41,50,1976,37.655,7.248,39,51,40.490,5.464,0,42,50,51,43.608,5.127,90,42,50,1976,39.926,7.900,41,51,41.255,6.026,0,44,50,51,45.451,5.228,90,46,50,1976,41.734,8.410,42
26,51,43.078,5.677,0,44,50,51,42.980,6.088,90,42,50,1976,40.441,8.007,41,51,36.745,5.685,0,39,50,51,40.843,5.732,90,42,50,1976,37.094,6.969,37,51,39.863,5.889,0,41,50,51,43.431,5.143,90,44,50,1976,39.649,8.049,41,51,40.804,6.397,0,44,50,51,45.902,5.438,90,48,50,1976,41.630,8.386,42
27,51,42.137,5.299,0,44,50,51,43.686,5.327,90,44,50,1976,40.485,7.789,41,51,36.569,5.565,0,39,50,51,40.392,5.668,90,41,50,1976,37.041,6.792,37,51,39.549,5.360,0,42,50,51,43.627,4.944,90,44,50,1976,39.523,7.934,41,51,40.863,6.750,0,44,50,51,45.392,4.964,90,46,50,1976,41.446,8.402,42
28,51,41.882,5.436,0,44,50,51,43.510,5.217,90,42,50,1976,40.737,7.851,41,51,36.961,5.422,0,39,50,51,40.255,5.713,90,41,50,1976,37.087,6.870,37,51,39.667,5.298,0,42,50,51,43.235,5.187,90,44,50,1976,39.634,7.909,41,51,41.039,6.542,0,44,50,51,45.235,4.994,90,44,50,1976,41.429,8.272,42
29,51,42.863,4.441,0,44,50,51,43.706,5.423,90,44,50,1976,40.772,7.984,41,51,36.647,5.358,0,37,50,51,39.647,5.325,90,39,50,1976,36.904,6.893,37,51,39.647,5.596,0,42,50,51,43.451,5.197,90,42,50,1976,39.471,7.790,41,51,40.863,6.717,0,44,50,51,45.078,5.161,90,46,50,1976,40.981,8.253,42
30,51,43.000,4.656,0,44,50,51,44.686,4.781,90,44,50,1976,41.314,8.080,42,51,37.706,5.088,0,39,50,51,40.000,5.276,90,41,50,1976,37.517,7.012,39,51,39.431,5.725,0,41,50,51,43.000,4.729,90,44,50,1976,39.516,7.816,41,51,40.294,6.344,0,44,50,51,44.980,5.124,90,46,50,1976,40.983,8.079,42
31,51,43.196,4.570,0,44,50,51,44.510,5.849,90,44,50,1976,41.784,8.267,42,51,37.804,5.115,0,39,50,51,40.255,4.783,90,41,50,1976,37.599,7.087,37,51,39.529,5.482,0,41,50,51,43.471,4.768,90,44,50,1976,39.509,7.733,41,51,40.176,6.861,0,44,50,51,44.941,5.405,90,44,50,1976,40.774,8.165,42
32,51,44.039,4.336,0,44,50,51,44.314,5.508,90,44,50,1976,41.835,8.364,42,51,38.078,4.677,0,39,50,51,40.686,4.893,90,41,50,1976,38.076,7.319,39,51,39.216,5.947,0,41,50,51,43.373,5.234,90,42,50,1976,38.952,7.660,39,51,39.980,6.822,0,42,50,51,44.235,5.252,90,44,50,1976,40.330,8.047,41
33,51,44.039,5.052,0,44,50,51,44.686,5.450,90,44,50,1976,42.019,8.614,42,51,39.118,4.744,0,41,50,51,41.275,5.099,90,41,50,1976,38.734,7.637,39,51,38.745,5.716,0,41,50,51,42.784,5.147,90,42,50,1976,38.690,7.737,39,51,39.529,6.836,0,42,50,51,44.059,5.493,90,44,50,1976,40.204,7.966,41
34,51,43.333,4.629,0,44,50,51,45.608,5.158,90,46,50,1976,42.523,8.574,42,51,39.235,4.470,0,39,50,51,42.314,5.233,90,42,50,1976,39.025,7.850,39,51,38.667,5.874,0,41,50,51,42.882,5.701,90,42,50,1976,38.652,7.727,39,51,39.725,6.759,0,42,50,51,44.255,5.592,90,44,50,1976,40.117,7.922,41
35,51,43.941,4.287,0,44,50,51,45.039,5.126,90,44,50,1976,42.338,8.722,42,51,39.137,4.517,0,39,50,51,42.725,4.763,90,42,50,1976,39.372,8.148,39,51,38.549,6.287,0,41,50,51,42.294,5.201,90,42,50,1976,38.281,7.465,39,51,39.235,7.107,0,42,50,51,43.510,5.100,90,42,50,1976,39.811,7.899,41
36,51,44.392,4.809,0,44,50,51,45.980,4.901,90,46,50,1976,42.923,8.752,42,51,39.922,4.413,0,41,50,51,43.098,4.627,90,42,50,1976,39.866,8.198,39,51,38.471,6.497,0,41,50,51,42.333,4.910,90,42,50,1976,38.295,7.528,39,51,39.725,6.943,0,42,50,51,43.706,5.580,90,44,50,1976,39.976,7.697,41
37,51,43.765,4.667,0,44,50,51,46.235,4.990,90,46,50,1976,43.092,8.662,42,51,39.941,4.338,0,41,50,51,43.647,4.582,90,42,50,1976,40.254,8.240,41,51,38.078,6.161,0,41,50,51,42.020,5.494,90,42,50,1976,37.979,7.405,39,51,38.922,6.844,0,42,50,51,43.471,5.626,90,42,50,1976,39.555,7.906,41
38,51,44.843,4.518,0,44,50,51,46.333,5.199,90,46,50,1976,43.289,8.808,42,51,40.588,4.373,0,42,50,51,43.549,4.904,90,44,50,1976,40.378,8.241,41,51,37.471,6.473,0,41,50,51,42.118,5.172,90,42,50,1976,37.898,7.363,39,51,39.255,6.702,0,42,50,51,43.176,5.313,90,42,50,1976,39.442,7.795,41
39,51,45.118,4.794,0,44,50,51,45.961,5.550,90,46,50,1976,43.341,8.638,42,51,39.863,4.729,0,41,50,51,43.608,4.686,90,44,50,1976,40.445,8.358,41,51,37.314,6.045,0,41,50,51,41.941,5.526,90,41,50,1976,37.678,7.288,39,51,38.980,6.608,0,42,50,51,42.784,5.224,90,42,50,1976,39.151,7.379,41
40,51,44.902,4.826,0,46,50,51,47.314,5.144,90,48,50,1976,43.883,8.966,44,51,39.961,4.775,0,41,50,51,43.804,4.477,90,42,50,1976,40.702,8.497,41,51,36.941,6.217,0,39,50,51,41.333,5.347,90,41,50,1976,37.381,7.163,39,51,38.294,6.398,0,41,50,51,42.686,5.573,90,42,50,1976,38.928,7.282,39
41,51,45.471,4.953,0,46,50,51,47.235,5.439,90,48,50,1976,43.876,9.009,44,51,40.608,4.779,0,41,50,51,44.569,4.469,90,44,50,1976,41.175,8.524,41,51,37.255,6.013,0,39,50,51,41.471,5.345,90,41,50,1976,37.368,7.078,39,51,38.431,6.001,0,41,50,51,42.078,5.699,90,42,50,1976,38.853,7.276,39
42,51,45.569,4.920,0,46,50,51,46.392,5.385,90,46,50,1976,43.428,8.758,44,51,41.235,5.595,0,42,50,51,44.686,4.827,90,44,50,1976,41.287,8.352,42,51,37.451,6.117,0,41,50,51,40.686,5.350,90,41,50,1976,37.225,6.965,39,51,38.255,5.506,0,41,50,51,41.941,5.493,90,41,50,1976,38.860,7.209,39
43,51,44.922,4.753,0,46,50,51,46.373,4.703,90,46,50,1976,43.512,8.577,44,51,40.706,5.605,0,41,50,51,44.039,5.122,90,44,50,1976,41.165,8.490,41,51,36.882,5.778,0,39,50,51,40.745,5.153,90,41,50,1976,37.276,6.980,37,51,39.216,5.547,0,41,50,51,42.176,5.509,90,42,50,1976,39.427,7.401,41
44,51,45.961,4.630,0,46,50,51,46.078,5.019,90,46,50,1976,43.425,8.601,44,51,41.333,5.248,0,42,50,51,44.157,4.892,90,44,50,1976,41.228,8.449,42,51,37.137,5.858,0,39,50,51,40.765,5.175,90,41,50,1976,37.155,6.852,39,51,38.922,5.317,0,41,50,51,42.765,5.691,90,42,50,1976,39.959,7.689,41
45,51,46.196,5.481,0,46,50,51,46.490,5.201,90,46,50,1976,43.401,8.639,44,51,41.176,5.454,0,42,50,51,44.294,4.814,90,44,50,1976,41.183,8.247,42,51,36.569,5.658,0,39,50,51,40.765,5.030,90,41,50,1976,36.903,6.743,37,51,39.451,5.061,0,42,50,51,43.098,5.139,90,42,50,1976,40.343,7.841,41
46,51,45.569,5.693,0,46,50,51,47.412,5.303,90,48,50,1976,43.439,8.594,44,51,41.431,5.445,0,42,50,51,44.373,4.386,90,44,50,1976,41.294,8.330,42,51,36.686,5.301,0,39,50,51,39.314,5.673,90,39,50,1976,36.538,6.702,37,51,39.569,5.341,0,42,50,51,44.353,5.642,90,44,50,1976,40.934,8.133,41
47,51,45.333,5.109,0,46,50,51,46.392,5.731,90,48,50,1976,43.179,8.493,44,51,41.235,4.865,0,42,50,51,44.392,4.763,90,44,50,1976,41.191,8.474,42,51,36.020,5.175,0,37,50,51,39.490,6.068,90,39,50,1976,36.280,6.767,37,51,40.137,5.079,0,42,50,51,44.686,5.523,90,44,50,1976,41.428,8.295,41
48,51,45.667,5.086,0,46,50,51,46.529,5.533,90,46,50,1976,42.970,8.422,44,51,40.725,5.322,0,42,50,51,43.843,4.977,90,44,50,1976,41.074,8.311,42,51,35.647,5.272,0,37,50,51,39.647,5.628,90,39,50,1976,36.181,6.665,37,51,40.451,4.696,0,42,50,51,45.196,5.378,90,44,50,1976,41.876,8.485,42
49,51,44.765,6.002,0,46,50,51,46.216,5.308,90,46,50,1976,42.875,8.422,44,51,41.157,5.457,0,42,50,51,44.863,4.808,90,44,50,1976,41.229,8.248,42,51,35.863,5.150,0,37,50,51,39.176,5.114,90,39,50,1976,36.092,6.560,37,51,41.176,4.844,0,42,50,51,45.824,5.328,90,46,50,1976,42.351,8.647,42
50,51,45.255,5.782,0,46,50,51,46.020,5.198,90,46,50,1976,42.923,8.374,44,51,41.255,5.635,0,42,50,51,44.059,4.901,90,44,50,1976,41.108,8.266,42,51,36.059,5.540,0,39,50,51,39.294,5.342,90,39,50,1976,36.020,6.679,37,51,41.353,5.172,0,42,50,51,46.275,5.088,90,46,50,1976,42.677,8.733,42
51,51,45.373,5.657,0,46,50,51,45.686,5.566,90,46,50,1976,42.984,8.267,44,51,41.098,6.159,0,42,50,51,44.314,5.457,90,44,50,1976,40.953,8.432,42,51,37.157,5.009,0,39,50,51,39.275,5.000,90,39,50,1976,36.355,6.759,37,51,41.667,5.567,0,44,50,51,46.275,5.189,90,46,50,1976,42.729,8.783,42
52,51,44.529,5.739,0,46,50,51,45.980,5.822,90,46,50,1976,42.604,8.469,42,51,40.961,5.855,0,42,50,51,44.510,5.155,90,44,50,1976,40.751,8.285,42,51,36.627,5.153,0,39,50,51,39.373,4.737,90,39,50,1976,36.409,6.857,37,51,41.882,5.581,0,44,50,51,46.608,5.434,90,46,50,1976,43.086,8.793,42
53,51,44.863,5.810,0,46,50,51,45.804,5.980,90,46,50,1976,42.236,8.190,42,51,41.137,6.103,0,42,50,51,43.902,5.401,90,44,50,1976,40.519,8.283,41,51,36.784,4.772,0,39,50,51,39.490,4.905,90,39,50,1976,36.558,6.853,37,51,41.529,5.224,0,42,50,51,46.824,5.207,90,46,50,1976,43.100,9.005,42
54,51,45.431,5.700,0,48,50,51,45.275,6.378,90,46,50,1976,42.227,8.264,42,51,40.608,5.452,0,42,50,51,44.137,5.192,90,44,50,1976,40.512,8.225,41,51,36.961,4.741,0,39,50,51,39.765,5.093,90,41,50,1976,36.757,7.052,37,51,41.863,5.496,0,42,50,51,47.118,5.301,90,46,50,1976,43.421,9.016,42
55,51,44.392,5.780,0,46,50,51,45.902,6.420,90,46,50,1976,41.876,8.251,42,51,40.980,6.488,0,42,50,51,43.863,5.261,90,44,50,1976,40.390,8.149,41,51,37.314,4.384,0,39,50,51,40.000,4.454,90,41,50,1976,36.937,7.094,37,51,42.118,5.813,0,42,50,51,47.745,5.399,90,48,50,1976,43.667,9.242,44
56,51,43.745,6.264,0,46,50,51,45.725,6.633,90,46,50,1976,41.740,8.151,42,51,40.510,6.204,0,42,50,51,44.314,5.301,90,44,50,1976,40.441,8.094,41,51,37.078,4.569,0,39,50,51,40.137,4.423,90,41,50,1976,36.956,7.306,37,51,42.235,6.042,0,42,50,51,48.098,4.880,90,48,50,1976,43.819,9.203,44
57,51,44.627,7.028,0,46,50,51,45.412,6.730,90,46,50,1976,41.588,8.090,42,51,40.137,5.748,0,42,50,51,44.118,5.007,90,44,50,1976,40.055,8.068,41,51,37.412,4.648,0,39,50,51,40.431,4.522,90,41,50,1976,37.254,7.380,37,51,42.667,5.861,0,44,50,51,47.608,4.842,90,48,50,1976,43.693,9.103,44
58,51,43.510,6.370,0,46,50,51,44.902,6.129,90,46,50,1976,41.270,7.935,42,51,39.725,6.010,0,42,50,51,43.863,4.796,90,42,50,1976,39.993,7.914,41,51,37.725,4.561,0,39,50,51,40.098,4.859,90,39,50,1976,37.386,7.285,37,51,42.608,5.776,0,44,50,51,47.804,5.200,90,48,50,1976,43.580,9.034,44
59,51,43.373,6.717,0,46,50,51,45.235,6.763,90,46,50,1976,41.255,8.012,42,51,39.412,6.354,0,42,50,51,43.863,5.466,90,42,50,1976,39.803,7.976,41,51,37.353,4.643,0,39,50,51,40.451,4.709,90,39,50,1976,37.637,7.409,37,51,42.314,6.058,0,44,50,51,47.588,4.948,90,48,50,1976,43.650,8.988,44
60,51,43.529,6.652,0,46,50,51,44.235,7.334,90,44,50,1976,40.939,7.886,42,51,39.627,6.138,0,42,50,51,43.392,4.980,90,44,50,1976,39.550,7.829,41,51,37.549,4.908,0,39,50,51,40.941,4.221,90,41,50,1976,37.475,7.535,37,51,42.078,6.251,0,44,50,51,47.510,5.049,90,48,50,1976,43.374,8.921,44
61,51,42.588,6.031,0,44,50,51,44.608,7.209,90,44,50,1976,40.855,7.912,42,51,39.176,5.635,0,41,50,51,43.431,5.135,90,42,50,1976,39.420,7.761,41,51,37.471,4.487,0,39,50,51,40.255,4.604,90,39,50,1976,37.419,7.545,37,51,42.863,6.711,0,44,50,51,47.196,5.095,90,48,50,1976,43.622,8.968,44
62,51,42.196,6.369,0,44,50,51,43.980,7.050,90,44,50,1976,40.508,7.872,41,51,38.412,5.721,0,41,50,51,42.431,5.292,90,42,50,1976,38.997,7.709,39,51,37.373,4.745,0,37,50,51,40.588,4.809,90,39,50,1976,37.425,7.637,37,51,42.353,6.076,0,44,50,51,47.314,5.014,90,48,50,1976,43.372,8.978,44
63,51,42.490,5.812,0,44,50,51,43.314,6.848,90,42,50,1976,40.392,7.882,41,51,38.333,5.747,0,41,50,51,43.000,5.441,90,42,50,1976,38.872,7.708,39,51,37.431,5.013,0,39,50,51,40.765,4.325,90,39,50,1976,37.470,7.683,37,51,42.569,6.366,0,44,50,51,47.961,4.911,90,50,50,1976,43.401,8.854,44
64,51,41.902,5.784,0,44,50,51,43.431,6.718,90,44,50,1976,40.371,7.637,41,51,37.686,5.904,0,41,50,51,42.647,5.222,90,42,50,1976,38.573,7.594,39,51,38.275,4.804,0,39,50,51,41.294,4.536,90,41,50,1976,38.207,7.757,39,51,42.863,6.397,0,44,50,51,47.510,4.901,90,48,50,1976,43.522,8.924,44
65,51,42.373,5.765,0,44,50,51,43.725,7.376,90,44,50,1976,40.583,7.678,41,51,37.922,5.912,0,41,50,51,42.686,5.058,90,42,50,1976,38.379,7.548,39,51,38.529,5.089,0,39,50,51,42.275,4.387,90,42,50,1976,38.578,7.817,39,51,42.275,6.296,0,44,50,51,47.627,5.215,90,48,50,1976,43.256,8.800,44
66,51,42.451,5.533,0,44,50,51,43.431,7.173,90,44,50,1976,40.430,7.675,41,51,37.471,6.087,0,41,50,51,41.784,5.255,90,41,50,1976,37.925,7.299,39,51,37.843,5.224,0,39,50,51,41.765,4.510,90,42,50,1976,38.522,7.975,39,51,41.843,6.094,0,44,50,51,47.863,5.119,90,50,50,1976,43.205,8.807,44
67,51,43.235,5.570,0,46,50,51,43.275,7.133,90,44,50,1976,40.492,7.679,41,51,37.235,5.874,0,41,50,51,41.804,5.310,90,41,50,1976,37.815,7.449,39,51,37.922,5.399,0,39,50,51,41.941,4.465,90,42,50,1976,38.447,7.846,39,51,41.588,6.290,0,44,50,51,47.686,4.864,90,48,50,1976,42.977,8.793,44
68,51,41.843,5.515,0,44,50,51,43.608,6.699,90,44,50,1976,40.527,7.458,41,51,37.000,5.913,0,39,50,51,41.196,5.838,90,41,50,1976,37.372,7.271,37,51,38.078,5.137,0,39,50,51,41.294,4.880,90,41,50,1976,38.244,7.718,39,51,41.725,6.381,0,44,50,51,47.314,4.819,90,48,50,1976,42.791,8.620,44
69,51,42.157,5.375,0,44,50,51,43.059,7.120,90,42,50,1976,40.595,7.426,41,51,36.980,5.891,0,39,50,51,41.157,5.630,90,41,50,1976,37.225,7.129,39,51,38.529,4.929,0,41,50,51,41.647,4.551,90,42,50,1976,38.387,7.759,39,51,41.451,6.207,0,42,50,51,46.941,5.293,90,46,50,1976,42.699,8.498,44
70,51,42.569,5.092,0,44,50,51,42.902,7.075,90,44,50,1976,40.373,7.471,41,51,36.471,5.647,0,39,50,51,40.549,5.605,90,39,50,1976,36.817,6.864,37,51,38.431,5.326,0,41,50,51,42.118,4.572,90,42,50,1976,38.319,7.764,39,51,41.431,7.009,0,44,50,51,46.549,5.504,90,46,50,1976,42.338,8.522,42
71,51,42.529,5.637,0,44,50,51,43.627,7.068,90,44,50,1976,40.516,7.632,41,51,36.118,5.256,0,39,50,51,40.235,5.945,90,39,50,1976,36.636,6.908,37,51,38.196,5.119,0,41,50,51,41.941,4.483,90,41,50,1976,38.162,7.810,39,51,40.784,7.103,0,44,50,51,46.490,5.375,90,46,50,1976,42.090,8.513,42
72,51,42.686,5.795,0,44,50,51,42.706,7.072,90,42,50,1976,40.304,7.688,41,51,36.686,5.148,0,37,50,51,40.020,6.114,90,39,50,1976,36.623,6.767,37,51,37.706,4.912,0,39,50,51,41.961,4.186,90,42,50,1976,38.228,7.858,39,51,41.000,6.459,0,44,50,51,46.510,5.205,90,46,50,1976,41.944,8.428,42
